series,x,y,z
3,0,28.0384672614,6.5965433886
3,0,29.3001483564,6.8561282065
3,0,30.458195852,7.0923503977
3,0,31.5146824183,7.3073125978
3,0,32.4716392718,7.5029282055
3,0,33.331057005,7.6809384137
3,0,34.0948863984,7.8429277078
3,0,34.765039217,7.9903379697
3,0,35.3433889905,8.1244813119
3,0,35.831771778,8.2465517568
3,0,36.2319869175,8.3576358648
3,0,36.5457977604,8.4587224061
3,0,36.7749323908,8.5507111613
3,0,36.9210843315,8.6344209309
3,0,36.9859132346,8.7105968235
3,0,36.9710455594,8.7799168877
3,0,36.8780752359,8.842998148
3,0,36.7085643156,8.9004020965
3,0,36.4640436089,8.9526396911
3,0,36.1460133101,9.0001759036
3,0,35.7559436098,9.0434338582
3,0,35.2952752944,9.0827985981
3,0,34.7654203351,9.1186205123
3,0,34.1677624633,9.1512184553
3,0,33.5036577361,9.1808825842
3,0,32.7744350891,9.2078769423
3,0,31.9813968797,9.2324418089
3,0,31.1258194179,9.2547958381
3,0,30.2089534874,9.2751380053
3,0,29.2320248565,9.293649378
3,0,28.1962347781,9.3104947276
3,0,27.1027604799,9.3258239962
3,0,25.9527556454,9.339773631
3,0,24.747350884,9.3524677991
3,0,23.4876541934,9.3640194923
3,0,22.174751411,9.3745315335
3,0,20.8097066578,9.3840974912
3,0,19.393562772,9.392802513
3,0,17.9273417354,9.4007240831
3,0,16.41204509,9.4079327121
3,0,14.8486543471,9.4144925646
3,0,13.2381313878,9.4204620306
3,0,11.5814188554,9.4258942448
3,0,9.8794405405,9.4258942448
3,0,8.1331017579,9.4258942448
3,0,6.3432897161,9.4258942448
3,0,4.5108738795,9.4258942448
4,0,204,0
4,0,203.9215999985,0
4,0,203.766367994,0
4,0,203.535840625,0
4,0,203.2315237976,0
4,0,202.8548932993,0
4,0,202.4073954024,0
4,0,201.8904474533,0
4,0,201.3054384518,0
4,0,200.6537296176,0
4,0,199.9366549462,0
4,0,199.1555217529,0
4,0,198.3116112072,0
4,0,197.4061788547,0
4,0,196.4404551305,0
4,0,195.4156458608,0
4,0,194.3329327554,0
4,0,193.19347389,0
4,0,191.9984041786,0
4,0,190.7488358371,0
4,0,189.4458588371,0
4,0,188.0905413507,0
4,0,186.6839301867,0
4,0,185.2270512176,0
4,0,183.7209097986,0
4,0,182.1664911777,0
4,0,180.564760898,0
4,0,178.9166651918,0
4,0,177.2231313668,0
4,0,175.4850681845,0
4,0,173.7033662312,0
4,0,171.8788982814,0
4,0,170.0125196543,0
4,0,168.1050685626,0
4,0,166.1573664548,0
4,0,164.1702183505,0
4,0,162.1444131689,0
4,0,160.0807240507,0
4,0,157.979908674,0
4,0,155.8427095633,0
4,0,153.6698543924,0
4,0,151.4620562821,0
4,0,149.2200140902,0
4,0,146.944412698,0
4,0,144.6359232886,0
4,0,142.2952036219,0
4,0,139.9228983024,0
4,0,137.5196390424,0
4,0,135.0860449203,0
4,0,132.6227226327,0
4,0,130.1302667424,0
4,0,127.6092599207,0
4,0,125.0602731859,0
4,0,122.4838661357,0
4,0,119.8805871758,0
4,0,117.2509737439,0
4,0,114.595552529,0
4,0,111.9148396862,0
4,0,109.2093410475,0
4,0,106.4795523286,0
4,0,103.7259593304,0
4,0,100.9490381381,0
4,0,98.1492553152,0
4,0,95.3270680939,0
4,0,92.4829245615,0
4,0,89.6172638441,0
4,0,86.7305162848,0
4,0,83.8231036202,0
4,0,80.8954391518,0
4,0,77.9479279155,0
4,0,74.9809668461,0
4,0,71.99494494,0
4,0,68.9902434135,0
4,0,65.9672358588,0
4,0,62.9262883959,0
4,0,59.8677598228,0
4,0,56.7920017613,0
4,0,53.6993588008,0
4,0,50.590168639,0
4,0,47.4647622196,0
4,0,44.3234638675,0
4,0,41.1665914209,0
4,0,37.9944563616,0
4,0,34.8073639414,0
4,0,31.6056133073,0
4,0,28.3894976233,0
4,0,25.1593041901,0
4,0,21.9153145624,0
4,0,18.6578046639,0
4,0,15.3870448997,0
4,0,12.1033002669,0
4,0,8.8068304625,0
4,0,5.4978899899,0
